#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Escherichia coli O157:H7 str. Sakai","Bacteria;Pseudomonadota;Gammaproteobacteria","Sakai substr. RIMD 0509952","SAMN01911278","PRJNA226","GCA_000008865.2","Complete",5.5946,50.4477,"chromosome:NC_002695.2/BA000007.3; plasmid pOSAK1:NC_002127.1/AB011548.2; plasmid pO157:NC_002128.1/AB011549.2",,3,5155,"2001-03-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/865/GCA_000008865.2_ASM886v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2"
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","Bacteria;Campylobacterota;Epsilonproteobacteria","NCTC 11168","SAMEA1705929","PRJNA8","GCA_000009085.1","Complete",1.64148,30.5,"chromosome:NC_002163.1/AL111168.1",,1,1572,"2001-09-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1"
"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","Bacteria;Pseudomonadota;Gammaproteobacteria","LT2","SAMN02604315","PRJNA241","GCA_000006945.2","Complete",4.95138,52.2171,"chromosome:NC_003197.2/AE006468.2; plasmid pSLT:NC_003277.2/AE006471.2",,2,4554,"2001-10-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/945/GCA_000006945.2_ASM694v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2"
"Staphylococcus aureus subsp. aureus NCTC 8325","Bacteria;Terrabacteria group;Bacillota","NCTC 8325","SAMN02604235","PRJNA237","GCA_000013425.1","Complete",2.82136,32.9,"chromosome:NC_007795.1/CP000253.1",,1,2767,"2006-02-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1"
"Listeria monocytogenes EGD-e","Bacteria;Terrabacteria group;Bacillota","EGD-e","SAMEA3138329","PRJNA276","GCA_000196035.1","Complete",2.94453,38,"chromosome:NC_003210.1/AL591824.1",,1,2867,"2001-11-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/035/GCA_000196035.1_ASM19603v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1"
"Mycobacterium tuberculosis H37Rv","Bacteria;Terrabacteria group;Actinomycetota","H37Rv","SAMEA3138326","PRJNA224","GCA_000195955.2","Complete",4.41153,65.6,"chromosome:NC_000962.3/AL123456.3",,1,3906,"2001-09-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2"
"Escherichia coli str. K-12 substr. MG1655","Bacteria;Pseudomonadota;Gammaproteobacteria","K-12 substr. MG1655","SAMN02604091","PRJNA225","GCA_000005845.2","Complete",4.64165,50.8,"chromosome:NC_000913.3/U00096.3",,1,4298,"1998-10-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2"
"Shigella flexneri 2a str. 301","Bacteria;Pseudomonadota;Gammaproteobacteria","301","SAMN02603599","PRJNA310","GCA_000006925.2","Complete",4.82882,50.6659,"chromosome:NC_004337.2/AE005674.2; plasmid pCP301:NC_004851.1/AF386526.1",,2,4313,"2002-10-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2"
"Pseudomonas aeruginosa PAO1","Bacteria;Pseudomonadota;Gammaproteobacteria","PAO1","SAMN02603714","PRJNA331","GCA_000006765.1","Complete",6.2644,66.6,"chromosome:NC_002516.2/AE004091.2",,1,5572,"2000-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1"
"Chlamydia trachomatis D/UW-3/CX","Bacteria;PVC group;Chlamydiota","D/UW-3/CX","SAMN02603114","PRJNA45","GCA_000008725.1","Complete",1.04252,41.3,"chromosome:NC_000117.1/AE001273.1",,1,887,"1998-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1"
